Map	Roundtype	Blue Team	Red Team	time	len	KB	KR	UB	UR	FB	Death Sequence
Temple of Anubis	Attack	 SHD	 GLA	8:08	25	4	5	0	0	B	MercyD.VaMercyZenyattaWinstonWinstonReaperD.VaZenyatta
Temple of Anubis	Defense	 SHD	 GLA	0:23	0	1	0	0	0	B	Zenyatta
Temple of Anubis	Defense	 SHD	 GLA	0:45	15	0	6	0	2	R	MercyZenyattaD.VaWidowmakerJunkratOrisa
Temple of Anubis	Defense	 SHD	 GLA	1:34	27	3	8	0	3	B	ZenyattaWinstonMccreeTracerMercyZenyattaD.VaD.VaWinstonWinstonDoomfist
Ilios	Well	 SHD	 GLA	0:33	17	0	6	0	0	R	MoiraWinstonD.VaTracerPharahMercy
Ilios	Well	 SHD	 GLA	1:26	16	2	6	0	2	B	MercyWinstonZenyattaTracerMercyMccreePharahD.Va
Ilios	Well	 SHD	 GLA	2:09	10	0	4	1	0	R	ZenyattaTracerMercyD.Va
Ilios	Well	 SHD	 GLA	2:34	30	5	1	2	1	R	MccreeD.VaMercyPharahTracerLucio
Ilios	Well	 SHD	 GLA	3:32	34	7	4	3	4	B	WinstonTracerD.VaD.VaPharahMercyLucioPharahWinstonTracerMccree
Ilios	Well	 SHD	 GLA	4:27	66	4	10	4	6	R	ZenyattaWinstonD.VaD.VaD.VaMccreeZenyattaTracerMercyMercyD.VaSoldier: 76PharahLucio
Ilios	Well	 SHD	 GLA	5:40	24	0	6	0	0	R	MercyWinstonTracerD.VaSoldier: 76Lucio
Ilios	Ruins	 SHD	 GLA	0:24	6	3	1	0	0	B	MercyD.VaZenyattaWidowmaker
Ilios	Ruins	 SHD	 GLA	1:14	30	4	7	2	1	R	D.VaWidowmakerMercyWinstonZenyattaZenyattaWinstonGenjiWidowmakerD.VaTracer
Ilios	Ruins	 SHD	 GLA	2:08	17	1	3	1	2	R	WidowmakerMercyWinstonD.Va
Ilios	Ruins	 SHD	 GLA	2:42	36	1	4	2	3	R	TracerGenjiZenyattaSoldier: 76D.Va
Ilios	Ruins	 SHD	 GLA	3:40	19	0	6	2	4	R	WinstonD.VaTracerZenyattaSoldier: 76Mercy
Eichenwalde	Attack	 SHD	 GLA	0:27	15	1	6	0	0	R	MoiraLucioPharahReinhardtD.VaRoadhogZarya
Eichenwalde	Attack	 SHD	 GLA	1:11	28	1	5	0	2	R	MccreeWinstonD.VaTracerZenyattaPharah
Eichenwalde	Attack	 SHD	 GLA	1:57	21	1	5	1	3	B	WinstonMercyWinstonZenyattaMccreeTracer
Eichenwalde	Attack	 SHD	 GLA	2:49	42	2	7	3	4	B	TracerMccreeZenyattaTracerWinstonMccreeWinstonD.VaMercy
Eichenwalde	Attack	 SHD	 GLA	3:55	46	6	5	4	4	B	WinstonMccreeTracerWinstonZenyattaPharahWinstonZenyattaMercyMccreeWinston
Eichenwalde	Defense	 SHD	 GLA	0:20	37	7	2	0	1	R	PharahPharahWinstonWinstonPharahTracerD.VaZenyattaMercy
Eichenwalde	Defense	 SHD	 GLA	1:25	37	0	8	6	6	R	WinstonSoldier: 76ZenyattaD.VaWinstonSoldier: 76MercyTracer
Junkertown	Attack	 DAL	 SEO	0:06	0	1	0	0	0	B	Winston
Junkertown	Attack	 DAL	 SEO	0:39	74	9	10	5	2	R	BastionOrisaRoadhogWidowmakerWinstonBastionAnaRoadhogHanzoWidowmakerZaryaWinstonAnaWidowmakerHanzoRoadhogHanzoD.VaLucio
Junkertown	Attack	 DAL	 SEO	2:10	9	5	0	0	0	B	AnaWinstonZaryaLucioD.Va
Junkertown	Attack	 DAL	 SEO	2:48	10	0	5	1	1	R	OrisaMercyReaperBastionHanzo
Junkertown	Attack	 DAL	 SEO	3:15	53	5	5	3	1	B	WinstonPharahOrisaRoadhogMercyReaperD.VaJunkratZaryaAna
Junkertown	Attack	 DAL	 SEO	4:34	20	6	4	2	2	B	WinstonPharahSoldier: 76ReaperD.VaReaperMercyJunkratLucioAna
Junkertown	Attack	 DAL	 SEO	5:28	22	3	0	1	0	B	WinstonD.VaZenyatta
Junkertown	Attack	 DAL	 SEO	6:16	38	10	5	5	1	R	ReaperJunkratWinstonBastionSoldier: 76D.VaMercyZenyattaWinstonBastionD.VaTracerSombraD.VaMercy
Junkertown	Defense	 DAL	 SEO	0:25	11	1	6	0	0	R	JunkratWidowmakerOrisaReaperMercyZenyattaRoadhog
Junkertown	Defense	 DAL	 SEO	0:57	26	1	7	1	1	R	OrisaJunkratAnaWidowmakerRoadhogZenyattaJunkratMercy
Junkertown	Defense	 DAL	 SEO	2:20	26	6	2	3	2	R	RoadhogWidowmakerWidowmakerWidowmakerReaperReinhardtD.VaAna
Junkertown	Defense	 DAL	 SEO	3:08	14	2	2	1	0	B	WinstonWidowmakerWidowmakerWidowmaker
Junkertown	Defense	 DAL	 SEO	3:45	27	5	1	3	1	R	ZenyattaReaperWidowmakerMercyAnaWinston
Junkertown	Defense	 DAL	 SEO	4:45	39	2	7	2	2	R	JunkratRoadhogWidowmakerReaperZenyattaOrisaMercyRoadhogMercy
Junkertown	Defense	 DAL	 SEO	5:52	36	3	6	1	3	R	D.VaReaperWinstonMercyReaperZenyattaJunkratRoadhogD.Va
Junkertown	Defense	 DAL	 SEO	6:47	29	1	6	2	2	R	WidowmakerD.VaZenyattaJunkratZenyattaMercyRoadhog
Junkertown	Defense	 DAL	 SEO	7:37	32	8	2	4	1	B	ReaperMccreeZenyattaD.VaOrisaReaperWinstonMercyZenyattaWidowmaker
Temple of Anubis	Attack	 DAL	 SEO	0:29	18	6	1	0	0	B	ZenyattaTracerD.VaMercyMercyOrisaWidowmaker
Temple of Anubis	Attack	 DAL	 SEO	1:21	24	9	0	1	0	B	D.VaGenjiZenyattaMercyZenyattaWinstonTracerD.VaGenji
Temple of Anubis	Defense	 DAL	 SEO	0:31	0	0	1	0	0	R	Soldier: 76
Temple of Anubis	Defense	 DAL	 SEO	0:46	22	5	4	3	2	R	OrisaD.VaZenyattaGenjiOrisaD.VaWinstonMercySoldier: 76
Temple of Anubis	Defense	 DAL	 SEO	1:56	16	2	6	1	0	R	MercyWidowmakerJunkratGenjiMercySoldier: 76D.VaOrisa
Temple of Anubis	Defense	 DAL	 SEO	2:41	31	1	6	1	1	R	OrisaGenjiMercyJunkratD.VaTracerWinston
Temple of Anubis	Defense	 DAL	 SEO	0:25	19	1	6	0	0	B	GenjiSoldier: 76MercyJunkratOrisaWidowmakerD.Va
Temple of Anubis	Defense	 DAL	 SEO	1:21	36	3	7	1	5	B	TracerWinstonD.VaD.VaJunkratTracerTracerZenyattaMercyWinston
Temple of Anubis	Attack	 DAL	 SEO	0:16	116	26	4	8	5	R	MercyZenyattaD.VaTracerWidowmakerWinstonZenyattaMercyTracerD.VaMercyGenjiRoadhogWinstonZenyattaD.VaTracerSombraGenjiD.VaTracerLucioZenyattaGenjiLucioLucioTracerD.VaWinstonMei
Temple of Anubis	Defense	 DAL	 SEO	0:29	9	2	6	0	0	R	JunkratGenjiMercySoldier: 76D.VaWidowmakerMercyOrisa
Temple of Anubis	Defense	 DAL	 SEO	1:20	15	6	1	1	1	B	TracerWinstonWinstonGenjiZenyattaMercyD.Va
Temple of Anubis	Defense	 DAL	 SEO	1:59	17	1	3	2	2	R	WinstonTracerZenyattaTracer
Temple of Anubis	Defense	 DAL	 SEO	2:27	68	2	13	3	6	R	ZenyattaMercyD.VaWinstonLucioMeiWinstonGenjiTracerSombraD.VaLucioZenyattaWinstonMei
Temple of Anubis	Attack	 DAL	 SEO	0:24	23	0	6	0	0	R	OrisaWidowmakerLucioRoadhogMercyD.Va
Temple of Anubis	Attack	 DAL	 SEO	1:17	19	1	4	0	0	R	WidowmakerTracerLucioOrisaD.Va
Temple of Anubis	Attack	 DAL	 SEO	2:03	58	4	10	4	7	R	WidowmakerZenyattaOrisaTracerWidowmakerLucioD.VaD.VaD.VaRoadhogOrisaMercyGenjiLucio
Temple of Anubis	Attack	 DAL	 SEO	3:18	13	0	2	0	0	R	Soldier: 76Genji
Temple of Anubis	Attack	 DAL	 SEO	3:45	18	0	2	0	2	R	WinstonD.Va
Temple of Anubis	Attack	 DAL	 SEO	4:24	40	8	3	4	3	R	Soldier: 76ZenyattaWinstonTracerWidowmakerMercyMercyZenyattaOrisaD.VaTracer
Temple of Anubis	Attack	 DAL	 SEO	5:28	54	5	4	3	3	B	ReaperTracerAnaGenjiD.VaReaperMercyD.VaLucio
Ilios	Lighthouse	 DAL	 SEO	0:21	36	4	7	1	1	B	WinstonMercyWinstonLucioWidowmakerTracerLucioTracerMercyD.VaTracer
Ilios	Lighthouse	 DAL	 SEO	1:13	86	10	8	5	7	B	PharahWidowmakerMercyWinstonLucioD.VaMercyTracerD.VaMercyMercyWinstonWinstonWidowmakerLucioTracerPharahD.Va
Ilios	Lighthouse	 DAL	 SEO	3:03	50	3	10	4	5	R	WidowmakerPharahTracerLucioWinstonPharahMercyTracerD.VaWidowmakerTracerLucioWinston
Ilios	Well	 DAL	 SEO	0:20	15	3	5	0	2	R	JunkratTracerMercyLucioMccreeOrisaZenyattaD.Va
Ilios	Well	 DAL	 SEO	0:58	15	1	4	0	1	B	TracerMccreeOrisaJunkratRoadhog
Ilios	Well	 DAL	 SEO	1:26	47	4	6	4	6	R	MccreeOrisaTracerZenyattaWinstonOrisaPharahMccreeD.VaJunkrat
Ilios	Well	 DAL	 SEO	2:21	8	1	0	0	1	B	Tracer
Ilios	Well	 DAL	 SEO	2:38	55	4	9	5	5	B	D.VaZenyattaWidowmakerWidowmakerPharahMercyTracerWinstonZenyattaWinstonMercyD.VaD.Va
Numbani	Attack	 DAL	 SEO	0:17	0	0	1	0	0	R	Lucio
Numbani	Attack	 DAL	 SEO	0:36	27	6	1	0	0	R	TracerMercyAnaJunkratSoldier: 76WinstonD.Va
Numbani	Attack	 DAL	 SEO	1:20	5	0	2	0	0	R	MercyWinston
Numbani	Attack	 DAL	 SEO	1:41	25	5	4	4	2	B	MercyTracerMercySoldier: 76AnaSoldier: 76GenjiD.VaLucio
Numbani	Attack	 DAL	 SEO	2:30	21	0	6	0	1	R	WinstonMercyLucioD.VaSoldier: 76Tracer
Numbani	Attack	 DAL	 SEO	3:22	14	1	3	1	1	B	WinstonWinstonLucioD.Va
Numbani	Attack	 DAL	 SEO	3:57	26	6	1	3	3	B	MercyMercyAnaGenjiTracerWinstonD.Va
Numbani	Attack	 DAL	 SEO	4:50	10	0	6	0	1	R	ZenyattaSoldier: 76WinstonMercyD.VaTracer
Numbani	Attack	 DAL	 SEO	5:20	20	1	4	0	1	R	WinstonZenyattaD.VaMercyD.Va
Numbani	Attack	 DAL	 SEO	5:59	46	3	7	5	4	R	TracerD.VaGenjiMercyWinstonWinstonZenyattaMercyTracerD.Va
Numbani	Attack	 DAL	 SEO	7:04	47	6	1	3	4	B	GenjiD.VaMercyTracerTracerWinstonMercy
Numbani	Defense	 DAL	 SEO	0:30	15	1	5	0	1	R	D.VaSoldier: 76TorbjörnSoldier: 76MercyTracer
Numbani	Defense	 DAL	 SEO	1:36	5	1	2	1	1	R	ZenyattaWidowmakerSoldier: 76
Numbani	Defense	 DAL	 SEO	1:47	38	1	4	3	1	B	WidowmakerMccreeD.VaWinstonSoldier: 76
Numbani	Defense	 DAL	 SEO	2:45	31	5	6	0	1	B	Soldier: 76TracerWinstonSoldier: 76ZenyattaMercyZenyattaD.VaMccreeMercySoldier: 76
Numbani	Defense	 DAL	 SEO	3:33	14	3	0	1	0	B	DoomfistWinstonD.Va
Numbani	Defense	 DAL	 SEO	4:12	34	6	2	0	4	B	WinstonSoldier: 76MccreeMercyZenyattaTracerD.VaSoldier: 76
Numbani	Defense	 DAL	 SEO	5:05	47	7	5	5	1	B	ReinhardtReaperZaryaZenyattaZaryaMccreeReinhardtReaperReinhardtReinhardtMercyTracer
Numbani	Defense	 DAL	 SEO	6:03	29	5	2	2	1	B	TracerReinhardtZaryaReaperZaryaZenyattaTracer
Numbani	Defense	 DAL	 SEO	7:05	0	0	1	0	1	R	Widowmaker
Numbani	Defense	 DAL	 SEO	7:09	47	5	6	6	6	B	JunkratReinhardtZenyattaMccreeReinhardtMccreeZaryaZaryaMercyMccreeZenyatta
Numbani	Defense	 DAL	 SEO	8:11	6	0	1	0	1	R	Widowmaker
Numbani	Attack	 DAL	 SEO	0:20	8	0	5	0	0	R	MercyLucioWinstonTracerD.Va
Numbani	Attack	 DAL	 SEO	0:59	12	1	4	1	2	R	ZenyattaSoldier: 76D.VaWinstonSoldier: 76
Numbani	Defense	 DAL	 SEO	0:23	0	1	0	0	0	B	Zenyatta
Numbani	Defense	 DAL	 SEO	0:51	15	6	0	2	1	B	ZenyattaWinstonPharahMercyD.VaSoldier: 76
Dorado	Attack	 LDN	 FLA	6:27	8	1	1	1	1	R	MercyMercy
Dorado	Attack	 LDN	 FLA	5:19	40	4	7	3	1	R	D.VaGenjiGenjiWinstonZenyattaWidowmakerZenyattaWinstonWinstonMercyD.Va
Dorado	Attack	 LDN	 FLA	4:50	11	2	1	0	0	B	WinstonMercyWinston
Dorado	Attack	 LDN	 FLA	3:48	22	2	4	1	1	B	ZenyattaD.VaZenyattaMercySoldier: 76Tracer
Dorado	Attack	 LDN	 FLA	3:10	15	3	0	3	0	B	ZenyattaD.VaWinston
Dorado	Attack	 LDN	 FLA	1:58	11	1	2	1	2	R	WinstonTracerZenyatta
Dorado	Attack	 LDN	 FLA	2:23	12	6	1	1	2	B	AnaSoldier: 76MercyZenyattaD.VaTracerWinston
Dorado	Attack	 LDN	 FLA	1:10	25	3	4	1	0	B	TracerWinstonMercyTracerAnaWinstonD.Va
Dorado	Defense	 LDN	 FLA	3:13	19	0	3	1	1	R	WinstonZenyattaD.Va
Dorado	Defense	 LDN	 FLA	2:27	40	5	7	3	4	B	WidowmakerZenyattaZenyattaTracerMercyMercyZenyattaD.VaWinstonWidowmakerZenyattaWidowmaker
Dorado	Defense	 LDN	 FLA	1:44	9	3	1	0	0	R	JunkratWidowmakerMercyZenyatta
Dorado	Defense	 LDN	 FLA	0:45	10	2	3	0	0	R	MercyWidowmakerTracerD.VaJunkrat
Temple of Anubis	Attack	 LDN	 FLA	3:06	10	3	1	3	1	B	WinstonJunkratReaperD.Va
Temple of Anubis	Attack	 LDN	 FLA	1:26	53	10	7	2	1	R	ReaperWinstonMercyJunkratD.VaSombraTracerWinstonDoomfistZenyattaD.VaMercyMercyWinstonD.VaReaperGenji
Temple of Anubis	Attack	 LDN	 FLA	0:29	17	6	1	0	0	B	WinstonWinstonMercySoldier: 76WidowmakerTracerD.Va
Temple of Anubis	Defense	 LDN	 FLA	8:03	10	6	0	1	2	B	LucioMercyD.VaWinstonTracerGenji
Temple of Anubis	Defense	 LDN	 FLA	7:26	19	3	2	3	1	B	LucioGenjiJunkratTracerTracer
Temple of Anubis	Defense	 LDN	 FLA	6:59	0	1	0	0	0	B	Genji
Temple of Anubis	Defense	 LDN	 FLA	6:01	30	4	7	2	2	R	JunkratZenyattaMercyMercyWinstonWinstonTracerJunkratTracerD.VaGenji
Temple of Anubis	Defense	 LDN	 FLA	4:44	41	7	7	4	2	R	MercyZenyattaMercyD.VaGenjiWinstonGenjiWinstonZenyattaMercyD.VaWinstonGenjiTracer
Temple of Anubis	Defense	 LDN	 FLA	3:39	26	4	3	0	3	B	ZenyattaMercyTracerMercyWinstonWinstonTracer
Temple of Anubis	Defense	 LDN	 FLA	2:24	41	2	7	4	3	R	GenjiZenyattaWidowmakerOrisaGenjiWidowmakerMercyD.VaMercy
Temple of Anubis	Defense	 LDN	 FLA	1:25	19	3	0	1	0	B	TracerWinstonD.Va
Temple of Anubis	Defense	 LDN	 FLA	0:54	6	2	0	0	0	B	TracerGenji
Oasis	University	 LDN	 FLA	4:44	58	10	6	3	3	B	LucioZaryaWinstonReaperReinhardtMercyJunkratZaryaTracerReaperRoadhogZenyattaLucioWinstonD.VaMoira
Oasis	University	 LDN	 FLA	3:50	21	6	2	0	1	R	ReinhardtMercyJunkratZenyattaTracerWinstonD.VaJunkrat
Oasis	University	 LDN	 FLA	3:11	8	4	0	1	0	B	ZenyattaMercyJunkratWinston
Oasis	University	 LDN	 FLA	2:36	9	5	0	1	1	B	JunkratMercyMccreeOrisaRoadhog
Oasis	University	 LDN	 FLA	1:42	30	3	4	1	2	R	ReinhardtMccreeReinhardtMccreeZaryaRoadhogReinhardt
Oasis	University	 LDN	 FLA	0:58	15	0	3	0	0	R	TracerWinstonGenji
Oasis	University	 LDN	 FLA	0:15	12	0	2	0	0	R	GenjiTracer
Oasis	Gardens	 LDN	 FLA	6:07	27	6	4	0	0	B	GenjiWinstonSoldier: 76ZenyattaGenjiTracerWinstonMoiraDoomfistTracer
Oasis	Gardens	 LDN	 FLA	5:05	38	7	3	3	4	R	D.VaWinstonJunkratAnaZenyattaMccreeOrisaMccreeMercyRoadhog
Oasis	Gardens	 LDN	 FLA	4:49	9	0	2	0	0	R	TracerGenji
Oasis	Gardens	 LDN	 FLA	3:48	33	2	6	2	2	R	MercyMccreeD.VaZenyattaZenyattaTracerWinstonGenji
Oasis	Gardens	 LDN	 FLA	2:52	22	8	1	2	2	R	WinstonZenyattaMccreeJunkratMercyOrisaRoadhogZenyattaMccree
Oasis	Gardens	 LDN	 FLA	1:45	42	2	8	2	3	R	GenjiJunkratRoadhogD.VaZenyattaTracerWinstonMercyGenjiD.Va
Oasis	Gardens	 LDN	 FLA	0:41	33	0	7	0	1	R	WinstonMccreeMercyWinstonZenyattaMccreeD.Va
Numbani	Attack	 LDN	 FLA	3:34	21	6	0	3	3	B	AnaMercyD.VaSoldier: 76WinstonTracer
