Map,Roundtype,Blue Team,Red Team,time,len,KB,KR,UB,UR,FB,Death Sequence,Ults Blue,Ults Red,Teamcomp Blue,Teamcomp Red
Temple of Anubis,Defense, SFS, VAL,0:25,3,2,1,0,0,B,WinstonGenjiMercy,,,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaWinston
Temple of Anubis,Defense, SFS, VAL,2:30,67,0,16,3,6,R,ZenyattaGenjiZenyattaTracerWinstonGenjiD.VaMercyMoiraWinstonTracerD.VaLucioWinstonMoiraJunkrat,WinstonTracerGenji,WinstonZenyattaMercyGenjiTracerWinston,GenjiTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis,Defense, SFS, VAL,1:39,12,6,3,0,1,R,MercyWidowmakerMercyZenyattaZenyattaD.VaWinstonTracerWinston,,Tracer,GenjiTracerMercyZenyattaD.VaWinston,WidowmakerTracerMercyZenyattaD.VaWinston
Temple of Anubis,Defense, SFS, VAL,0:32,29,1,6,0,1,B,D.VaTracerMercyWinstonWidowmakerZenyattaD.Va,,Winston,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SFS, VAL,5:03,32,4,5,3,3,B,WinstonZenyattaD.VaMercyTracerTracerZenyattaD.VaGenji,TracerGenjiWinston,TracerMercyGenji,GenjiTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SFS, VAL,3:57,30,6,4,1,1,R,TracerZenyattaMercyJunkratWidowmakerZenyattaWinstonOrisaZenyattaD.Va,Genji,Zenyatta,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis,Attack, SFS, VAL,3:15,16,1,3,1,2,R,ZenyattaZenyattaMercyWinston,Zenyatta,JunkratMercy,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis,Attack, SFS, VAL,2:55,0,0,1,0,0,R,Genji,,,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis,Attack, SFS, VAL,2:18,19,3,3,3,2,R,ZenyattaZenyattaGenjiMercyWidowmakerWinston,MercyTracerWinston,JunkratOrisa,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis,Attack, SFS, VAL,1:15,29,0,4,1,0,R,TracerWinstonMercyZenyatta,Winston,,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis,Attack, SFS, VAL,0:15,26,2,5,0,0,R,GenjiGenjiWidowmakerZenyattaWinstonTracerZenyatta,,,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaOrisa
Ilios,Lighthouse, SFS, VAL,4:05,6,0,1,1,0,R,Lucio,Winston,,PharahTracerLucioMercyD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Ilios,Lighthouse, SFS, VAL,4:29,29,7,0,4,3,B,ZenyattaWinstonTracerD.VaWinstonWinstonMercy,LucioWinstonPharahMercy,TracerPharahWinston,PharahTracerLucioMercyD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Ilios,Lighthouse, SFS, VAL,3:39,8,0,2,1,0,R,WinstonMercy,Pharah,,PharahTracerLucioMercyD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Ilios,Lighthouse, SFS, VAL,1:48,82,9,11,4,6,B,TracerD.VaPharahZenyattaZenyattaLucioPharahMercyMercyWinstonWinstonD.VaLucioMercyZenyattaTracerMercyWinstonPharahPharah,PharahMercyWinstonTracer,ZenyattaMercyTracerWinstonTracerPharah,PharahTracerLucioMercyD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Ilios,Lighthouse, SFS, VAL,0:19,4,2,0,0,0,B,WinstonMercy,,,PharahTracerLucioMercyD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Ilios,Lighthouse, SFS, VAL,1:13,10,3,0,0,0,B,TracerMccreeWinston,,,PharahTracerLucioMercyD.VaWinston,MccreeTracerMercyZenyattaD.VaWinston
Ilios,Ruins, SFS, VAL,2:29,20,2,5,2,1,R,ZenyattaMercyWinstonWidowmakerD.VaZenyattaWidowmaker,MercyTracer,Mercy,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerTracerMercyZenyattaD.VaWinston
Ilios,Ruins, SFS, VAL,1:08,63,3,7,6,5,R,WinstonTracerD.VaZenyattaWidowmakerWinstonTracerD.VaZenyattaWidowmaker,ZenyattaWidowmakerMercyTracerWinstonZenyatta,WidowmakerMercyWinstonTracerWidowmaker,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerTracerMercyZenyattaD.VaWinston
Ilios,Ruins, SFS, VAL,0:17,25,1,4,0,0,R,TracerWidowmakerZenyattaWidowmakerWidowmaker,,,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerTracerMercyZenyattaD.VaWinston
Ilios,Well, SFS, VAL,3:27,42,2,12,2,5,R,ZenyattaMccreeZenyattaMccreeWinstonMccreeGenjiMercyD.VaTracerZenyattaTracerSoldier: 76Winston,MercyTracer,TracerWinstonZenyattaMercyGenji,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Ilios,Well, SFS, VAL,2:33,25,1,4,3,1,R,ZenyattaMercyTracerTracerMccree,MccreeZenyattaWinston,Genji,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Ilios,Well, SFS, VAL,1:35,27,0,7,2,3,R,ZenyattaMercyWinstonD.VaTracerZenyattaMccree,MccreeTracer,MccreeTracerWinston,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Ilios,Well, SFS, VAL,1:07,22,4,1,2,0,B,MccreeWinstonWinstonMccreeD.Va,TracerMercy,,MccreeTracerMercyZenyattaD.VaWinston,MccreeTracerMercyZenyattaD.VaWinston
Ilios,Well, SFS, VAL,0:21,20,6,1,0,0,B,ZenyattaMercyMccreeWinstonWinstonD.VaTracer,,,MccreeTracerMercyZenyattaD.VaWinston,MccreeTracerMercyZenyattaD.VaWinston
Numbani,Attack, SFS, VAL,3:59,31,7,3,2,2,B,TracerZenyattaD.VaWinstonTracerZenyattaTracerWinstonZenyattaSoldier: 76,MercyZenyatta,MercyTracer,Soldier: 76TracerMercyZenyattaD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Attack, SFS, VAL,3:07,22,1,3,0,1,R,Soldier: 76Soldier: 76MercyTracer,,Tracer,Soldier: 76TracerMercyZenyattaD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Attack, SFS, VAL,2:10,23,1,6,4,4,B,WinstonMercyZenyattaWinstonD.VaTracerGenji,ZenyattaWinstonGenjiTracer,TracerMercyZenyattaTracer,GenjiTracerMercyZenyattaD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Attack, SFS, VAL,1:11,29,2,4,3,2,B,WinstonD.VaMercyWinstonTracerD.Va,TracerWinstonMercy,TracerSoldier: 76,GenjiTracerMercyZenyattaD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Attack, SFS, VAL,0:25,19,2,5,0,0,R,ZenyattaWinstonMercyTracerGenjiD.VaTracer,,,GenjiTracerMercyZenyattaD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Attack, SFS, VAL,5:23,27,1,6,1,2,R,TracerMccreeMercyWinstonZenyattaSoldier: 76D.Va,Zenyatta,WinstonTracer,MccreeTracerMercyZenyattaD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Attack, SFS, VAL,6:11,56,1,11,4,4,R,MccreeWinstonWinstonTracerZenyattaMccreeWinstonMercyTracerD.VaZenyattaWinston,TracerMccreeMercyWinston,MercySoldier: 76TracerWinston,MccreeTracerMercyZenyattaD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Defense, SFS, VAL,0:19,18,3,1,0,0,B,ZenyattaSoldier: 76MercyZenyatta,,,Soldier: 76TracerAnaMercyD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Defense, SFS, VAL,1:01,50,1,10,3,3,R,Soldier: 76ZenyattaSoldier: 76D.VaMercyAnaWinstonD.VaTracerMercyWidowmaker,MercyTracerAna,Soldier: 76WinstonZenyatta,Soldier: 76TracerAnaMercyD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Defense, SFS, VAL,2:27,14,2,2,2,3,B,WinstonTracerD.VaWidowmaker,TracerWinston,MercyTracerWinston,WidowmakerTracerMercyZenyattaD.VaWinston,Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani,Defense, SFS, VAL,3:04,5,1,0,0,0,B,Mercy,,,WidowmakerTracerMercyZenyattaD.VaWinston,BastionSoldier: 76TracerMercyZenyattaWinston
Numbani,Defense, SFS, VAL,3:18,6,0,1,0,0,R,Tracer,,,WidowmakerTracerMercyZenyattaD.VaWinston,BastionSoldier: 76TracerMercyZenyattaWinston
Numbani,Defense, SFS, VAL,3:39,0,0,1,0,0,R,D.Va,,,WidowmakerTracerMercyZenyattaD.VaWinston,BastionSoldier: 76TracerMercyZenyattaWinston
Dorado,Attack, SHD, GLA,1:02,33,3,5,4,2,B,DoomfistWinstonMercyWinstonWinstonDoomfistD.VaTracer,TracerMercyWidowmakerTracer,WidowmakerMercy,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerDoomfistMercyZenyattaD.VaWinston
Dorado,Attack, SHD, GLA,2:06,12,0,3,1,2,R,WidowmakerD.VaWinston,Zenyatta,WidowmakerDoomfist,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerDoomfistMercyZenyattaD.VaWinston
Dorado,Attack, SHD, GLA,2:54,23,0,3,0,0,R,TracerMccreeZenyatta,,,MccreeTracerMercyZenyattaD.VaWinston,WidowmakerDoomfistMercyZenyattaD.VaWinston
Dorado,Attack, SHD, GLA,3:44,31,1,7,4,3,B,WidowmakerMccreeMercyWinstonZenyattaMccreeD.VaTracer,MccreeMercyZenyattaTracer,WidowmakerMercyDoomfist,MccreeTracerMercyZenyattaD.VaWinston,WidowmakerDoomfistMercyZenyattaD.VaWinston
Dorado,Defense, SHD, GLA,0:19,23,1,6,0,1,R,ZenyattaTracerGenjiMercySoldier: 76WinstonD.Va,,Mercy,Soldier: 76TracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SHD, GLA,0:19,6,0,2,0,0,R,ZenyattaTracer,,,WidowmakerTracerMercyZenyattaD.VaWinston,GenjiTracerAnaMercyD.VaWinston
Temple of Anubis,Attack, SHD, GLA,1:00,40,6,5,2,3,B,D.VaWidowmakerMercyZenyattaMercyAnaTracerGenjiWinstonD.VaD.Va,WidowmakerWinston,MercyTracerAna,WidowmakerTracerMercyZenyattaD.VaWinston,GenjiTracerAnaMercyD.VaWinston
Temple of Anubis,Attack, SHD, GLA,2:05,38,1,6,3,3,B,TracerWinstonReaperD.VaWinstonReaperZenyatta,ZenyattaMercyTracer,MercyGenjiWinston,ReaperTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SHD, GLA,3:14,13,1,3,0,1,R,WinstonZenyattaD.VaReaper,,Tracer,ReaperTracerMercyZenyattaD.VaWinston,JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SHD, GLA,3:57,16,1,5,1,0,R,WinstonD.VaReaperMercyTracerZenyatta,Tracer,,ReaperTracerMercyZenyattaD.VaWinston,JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SHD, GLA,4:43,24,1,5,0,1,R,MercyReaperTracerTracerD.VaWinston,,Junkrat,ReaperTracerMercyZenyattaD.VaWinston,JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SHD, GLA,5:27,46,3,6,5,4,B,D.VaTracerZenyattaJunkratWinstonReaperZenyattaWinstonMercy,ZenyattaMercyWinstonTracerReaper,MercyWinstonTracerZenyatta,ReaperTracerMercyZenyattaD.VaWinston,JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SHD, GLA,6:51,6,1,4,1,0,R,MercyZenyattaD.VaTracerReaper,Reaper,,ReaperTracerMercyZenyattaD.VaWinston,JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SHD, GLA,7:27,0,0,1,1,0,R,Tracer,Winston,,ReaperTracerMercyZenyattaD.VaWinston,JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SHD, GLA,7:49,14,2,1,1,1,B,JunkratReaperZenyatta,Mercy,Mercy,ReaperTracerMercyZenyattaD.VaWinston,JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SHD, GLA,8:08,25,4,5,0,0,B,MercyD.VaMercyZenyattaWinstonWinstonReaperD.VaZenyatta,,,ReaperTracerMercyZenyattaD.VaWinston,JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis,Defense, SHD, GLA,0:23,0,1,0,0,0,B,Zenyatta,,,JunkratWidowmakerMercyZenyattaD.VaOrisa,GenjiTracerLucioZenyattaD.VaWinston
Temple of Anubis,Defense, SHD, GLA,0:45,15,0,6,0,2,R,MercyZenyattaD.VaWidowmakerJunkratOrisa,,TracerTracer,JunkratWidowmakerMercyZenyattaD.VaOrisa,GenjiTracerLucioZenyattaD.VaWinston
Temple of Anubis,Defense, SHD, GLA,1:34,27,3,8,0,3,B,ZenyattaWinstonMccreeTracerMercyZenyattaD.VaD.VaWinstonWinstonDoomfist,,GenjiLucioTracer,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerLucioZenyattaD.VaWinston
Ilios,Well, SHD, GLA,0:33,17,0,6,0,0,R,MoiraWinstonD.VaTracerPharahMercy,,,PharahTracerMercyMoiraD.VaWinston,PharahTracerLucioMercyD.VaWinston
Ilios,Well, SHD, GLA,1:26,16,2,6,0,2,B,MercyWinstonZenyattaTracerMercyMccreePharahD.Va,,TracerPharah,MccreeTracerMercyZenyattaD.VaWinston,PharahTracerLucioMercyD.VaWinston
Ilios,Well, SHD, GLA,2:09,10,0,4,1,0,R,ZenyattaTracerMercyD.Va,Tracer,,MccreeTracerMercyZenyattaD.VaWinston,PharahTracerLucioMercyD.VaWinston
Ilios,Well, SHD, GLA,2:34,30,5,1,2,1,R,MccreeD.VaMercyPharahTracerLucio,MercyMccree,Tracer,MccreeTracerMercyZenyattaD.VaWinston,PharahTracerLucioMercyD.VaWinston
Ilios,Well, SHD, GLA,3:32,34,7,4,3,4,B,WinstonTracerD.VaD.VaPharahMercyLucioPharahWinstonTracerMccree,TracerZenyattaMccree,MercyLucioPharahWinston,MccreeTracerMercyZenyattaD.VaWinston,PharahTracerLucioMercyD.VaWinston
Ilios,Well, SHD, GLA,4:27,66,4,10,4,6,R,ZenyattaWinstonD.VaD.VaD.VaMccreeZenyattaTracerMercyMercyD.VaSoldier: 76PharahLucio,TracerMercyZenyattaWinston,TracerPharahLucioWinstonPharahTracer,MccreeTracerMercyZenyattaD.VaWinston,PharahTracerLucioMercyD.VaWinston
Ilios,Well, SHD, GLA,5:40,24,0,6,0,0,R,MercyWinstonTracerD.VaSoldier: 76Lucio,,,Soldier: 76TracerLucioMercyD.VaWinston,PharahTracerLucioMercyD.VaWinston
Ilios,Ruins, SHD, GLA,0:24,6,3,1,0,0,B,MercyD.VaZenyattaWidowmaker,,,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerGenjiMercyZenyattaD.VaWinston
Ilios,Ruins, SHD, GLA,1:14,30,4,7,2,1,R,D.VaWidowmakerMercyWinstonZenyattaZenyattaWinstonGenjiWidowmakerD.VaTracer,WinstonMercy,Mercy,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerGenjiMercyZenyattaD.VaWinston
Ilios,Ruins, SHD, GLA,2:08,17,1,3,1,2,R,WidowmakerMercyWinstonD.Va,Mercy,WidowmakerWinston,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerGenjiMercyZenyattaD.VaWinston
Ilios,Ruins, SHD, GLA,2:42,36,1,4,2,3,R,TracerGenjiZenyattaSoldier: 76D.Va,WinstonTracer,WidowmakerZenyattaWinston,WidowmakerTracerMercyZenyattaD.VaWinston,WidowmakerGenjiMercyZenyattaD.VaWinston
Ilios,Ruins, SHD, GLA,3:40,19,0,6,2,4,R,WinstonD.VaTracerZenyattaSoldier: 76Mercy,WinstonZenyatta,MercyWinstonGenjiZenyatta,Soldier: 76TracerMercyZenyattaD.VaWinston,WidowmakerGenjiMercyZenyattaD.VaWinston
Eichenwalde,Attack, SHD, GLA,0:27,15,1,6,0,0,R,MoiraLucioPharahReinhardtD.VaRoadhogZarya,,,LucioMoiraD.VaReinhardtRoadhogZarya,PharahTracerMercyZenyattaD.VaWinston
Eichenwalde,Attack, SHD, GLA,1:11,28,1,5,0,2,R,MccreeWinstonD.VaTracerZenyattaPharah,,MercyPharah,MccreeTracerMercyZenyattaD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Eichenwalde,Attack, SHD, GLA,1:57,21,1,5,1,3,B,WinstonMercyWinstonZenyattaMccreeTracer,Tracer,MercyTracerPharah,MccreeTracerMercyZenyattaD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Eichenwalde,Attack, SHD, GLA,2:49,42,2,7,3,4,B,TracerMccreeZenyattaTracerWinstonMccreeWinstonD.VaMercy,ZenyattaMccreeMercy,WinstonZenyattaPharahTracer,MccreeTracerMercyZenyattaD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Eichenwalde,Attack, SHD, GLA,3:55,46,6,5,4,4,B,WinstonMccreeTracerWinstonZenyattaPharahWinstonZenyattaMercyMccreeWinston,WinstonZenyattaTracerMccree,MercyTracerWinstonPharah,MccreeTracerMercyZenyattaD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Eichenwalde,Defense, SHD, GLA,0:20,37,7,2,0,1,R,PharahPharahWinstonWinstonPharahTracerD.VaZenyattaMercy,,Tracer,PharahSoldier: 76MercyZenyattaD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Eichenwalde,Defense, SHD, GLA,1:25,37,0,8,6,6,R,WinstonSoldier: 76ZenyattaD.VaWinstonSoldier: 76MercyTracer,MercyZenyattaWinstonTracerSoldier: 76Winston,ZenyattaPharahMercyWinstonTracerTracer,Soldier: 76TracerMercyZenyattaD.VaWinston,PharahTracerMercyZenyattaD.VaWinston
Junkertown,Attack, DAL, SEO,0:06,0,1,0,0,0,B,Winston,,,BastionHanzoWidowmakerMercyOrisaRoadhog,AnaLucioD.VaRoadhogWinstonZarya
Junkertown,Attack, DAL, SEO,0:39,74,9,10,5,2,R,BastionOrisaRoadhogWidowmakerWinstonBastionAnaRoadhogHanzoWidowmakerZaryaWinstonAnaWidowmakerHanzoRoadhogHanzoD.VaLucio,RoadhogHanzoWidowmakerRoadhogMercy,RoadhogLucio,BastionHanzoWidowmakerMercyOrisaRoadhog,AnaLucioD.VaRoadhogWinstonZarya
Junkertown,Attack, DAL, SEO,2:10,9,5,0,0,0,B,AnaWinstonZaryaLucioD.Va,,,BastionHanzoReaperMercyOrisaRoadhog,JunkratAnaLucioD.VaWinstonZarya
Junkertown,Attack, DAL, SEO,2:48,10,0,5,1,1,R,OrisaMercyReaperBastionHanzo,Hanzo,Ana,BastionHanzoReaperMercyOrisaRoadhog,JunkratAnaLucioD.VaWinstonZarya
Junkertown,Attack, DAL, SEO,3:15,53,5,5,3,1,B,WinstonPharahOrisaRoadhogMercyReaperD.VaJunkratZaryaAna,OrisaMercyRoadhog,Junkrat,BastionPharahReaperMercyOrisaRoadhog,JunkratAnaLucioD.VaWinstonZarya
Junkertown,Attack, DAL, SEO,4:34,20,6,4,2,2,B,WinstonPharahSoldier: 76ReaperD.VaReaperMercyJunkratLucioAna,MercyBastion,AnaLucio,BastionPharahReaperMercyD.VaRoadhog,JunkratSoldier: 76AnaLucioD.VaWinston
Junkertown,Attack, DAL, SEO,5:28,22,3,0,1,0,B,WinstonD.VaZenyatta,Roadhog,,BastionJunkratReaperMercyD.VaRoadhog,WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Junkertown,Attack, DAL, SEO,6:16,38,10,5,5,1,R,ReaperJunkratWinstonBastionSoldier: 76D.VaMercyZenyattaWinstonBastionD.VaTracerSombraD.VaMercy,BastionReaperRoadhogReaperBastion,Soldier: 76,BastionJunkratReaperMercyD.VaRoadhog,WidowmakerSoldier: 76MercyZenyattaD.VaWinston
