Map	Roundtype	Blue Team	Red Team	Ults Blue	Ults Red	Teamcomp Blue	Teamcomp Red
Temple of Anubis	Attack	 SFS	 VAL		Widowmaker	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis	Defense	 SFS	 VAL	MercyGenjiZenyattaTracer	ZenyattaMercyWinstonGenji	GenjiTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 SFS	 VAL	GenjiWinston		GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 SFS	 VAL	TracerGenjiZenyattaTracer	JunkratZenyattaMercyWinstonWidowmaker	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 SFS	 VAL	MercyGenji	Widowmaker	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 SFS	 VAL			GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 SFS	 VAL	WinstonTracerGenji	WinstonZenyattaMercyGenjiTracerWinston	GenjiTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 SFS	 VAL		Tracer	GenjiTracerMercyZenyattaD.VaWinston	WidowmakerTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 SFS	 VAL		Winston	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SFS	 VAL	TracerGenjiWinston	TracerMercyGenji	GenjiTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SFS	 VAL	Genji	Zenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 SFS	 VAL	Zenyatta	JunkratMercy	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 SFS	 VAL			GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 SFS	 VAL	MercyTracerWinston	JunkratOrisa	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 SFS	 VAL	Winston		GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 SFS	 VAL			GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaOrisa
Ilios	Lighthouse	 SFS	 VAL	Winston		PharahTracerLucioMercyD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Ilios	Lighthouse	 SFS	 VAL	LucioWinstonPharahMercy	TracerPharahWinston	PharahTracerLucioMercyD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Ilios	Lighthouse	 SFS	 VAL	Pharah		PharahTracerLucioMercyD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Ilios	Lighthouse	 SFS	 VAL	PharahMercyWinstonTracer	ZenyattaMercyTracerWinstonTracerPharah	PharahTracerLucioMercyD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Ilios	Lighthouse	 SFS	 VAL			PharahTracerLucioMercyD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Ilios	Lighthouse	 SFS	 VAL			PharahTracerLucioMercyD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Ilios	Ruins	 SFS	 VAL	MercyTracer	Mercy	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerTracerMercyZenyattaD.VaWinston
Ilios	Ruins	 SFS	 VAL	ZenyattaWidowmakerMercyTracerWinstonZenyatta	WidowmakerMercyWinstonTracerWidowmaker	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerTracerMercyZenyattaD.VaWinston
Ilios	Ruins	 SFS	 VAL			WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerTracerMercyZenyattaD.VaWinston
Ilios	Well	 SFS	 VAL	MercyTracer	TracerWinstonZenyattaMercyGenji	MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Ilios	Well	 SFS	 VAL	MccreeZenyattaWinston	Genji	MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Ilios	Well	 SFS	 VAL	MccreeTracer	MccreeTracerWinston	MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Ilios	Well	 SFS	 VAL	TracerMercy		MccreeTracerMercyZenyattaD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Ilios	Well	 SFS	 VAL			MccreeTracerMercyZenyattaD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Numbani	Attack	 SFS	 VAL	MercyZenyatta	MercyTracer	Soldier: 76TracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Attack	 SFS	 VAL		Tracer	Soldier: 76TracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Attack	 SFS	 VAL	ZenyattaWinstonGenjiTracer	TracerMercyZenyattaTracer	GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Attack	 SFS	 VAL	TracerWinstonMercy	TracerSoldier: 76	GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Attack	 SFS	 VAL			GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Attack	 SFS	 VAL	Zenyatta	WinstonTracer	MccreeTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Attack	 SFS	 VAL	TracerMccreeMercyWinston	MercySoldier: 76TracerWinston	MccreeTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Defense	 SFS	 VAL			Soldier: 76TracerAnaMercyD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Defense	 SFS	 VAL	MercyTracerAna	Soldier: 76WinstonZenyatta	Soldier: 76TracerAnaMercyD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Defense	 SFS	 VAL	TracerWinston	MercyTracerWinston	WidowmakerTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Defense	 SFS	 VAL			WidowmakerTracerMercyZenyattaD.VaWinston	BastionSoldier: 76TracerMercyZenyattaWinston
Numbani	Defense	 SFS	 VAL			WidowmakerTracerMercyZenyattaD.VaWinston	BastionSoldier: 76TracerMercyZenyattaWinston
Numbani	Defense	 SFS	 VAL			WidowmakerTracerMercyZenyattaD.VaWinston	BastionSoldier: 76TracerMercyZenyattaWinston
Dorado	Attack	 SHD	 GLA	TracerMercyWidowmakerTracer	WidowmakerMercy	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerDoomfistMercyZenyattaD.VaWinston
Dorado	Attack	 SHD	 GLA	Zenyatta	WidowmakerDoomfist	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerDoomfistMercyZenyattaD.VaWinston
Dorado	Attack	 SHD	 GLA			MccreeTracerMercyZenyattaD.VaWinston	WidowmakerDoomfistMercyZenyattaD.VaWinston
Dorado	Attack	 SHD	 GLA	MccreeMercyZenyattaTracer	WidowmakerMercyDoomfist	MccreeTracerMercyZenyattaD.VaWinston	WidowmakerDoomfistMercyZenyattaD.VaWinston
Dorado	Defense	 SHD	 GLA		Mercy	Soldier: 76TracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA			WidowmakerTracerMercyZenyattaD.VaWinston	GenjiTracerAnaMercyD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA	WidowmakerWinston	MercyTracerAna	WidowmakerTracerMercyZenyattaD.VaWinston	GenjiTracerAnaMercyD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA	ZenyattaMercyTracer	MercyGenjiWinston	ReaperTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA		Tracer	ReaperTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA	Tracer		ReaperTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA		Junkrat	ReaperTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA	ZenyattaMercyWinstonTracerReaper	MercyWinstonTracerZenyatta	ReaperTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA	Reaper		ReaperTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA	Winston		ReaperTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA	Mercy	Mercy	ReaperTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA			ReaperTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 SHD	 GLA			JunkratWidowmakerMercyZenyattaD.VaOrisa	GenjiTracerLucioZenyattaD.VaWinston
Temple of Anubis	Defense	 SHD	 GLA		TracerTracer	JunkratWidowmakerMercyZenyattaD.VaOrisa	GenjiTracerLucioZenyattaD.VaWinston
Temple of Anubis	Defense	 SHD	 GLA		GenjiLucioTracer	MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerLucioZenyattaD.VaWinston
Ilios	Well	 SHD	 GLA			PharahTracerMercyMoiraD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 SHD	 GLA		TracerPharah	MccreeTracerMercyZenyattaD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 SHD	 GLA	Tracer		MccreeTracerMercyZenyattaD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 SHD	 GLA	MercyMccree	Tracer	MccreeTracerMercyZenyattaD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 SHD	 GLA	TracerZenyattaMccree	MercyLucioPharahWinston	MccreeTracerMercyZenyattaD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 SHD	 GLA	TracerMercyZenyattaWinston	TracerPharahLucioWinstonPharahTracer	MccreeTracerMercyZenyattaD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 SHD	 GLA			Soldier: 76TracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Ruins	 SHD	 GLA			WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Ilios	Ruins	 SHD	 GLA	WinstonMercy	Mercy	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Ilios	Ruins	 SHD	 GLA	Mercy	WidowmakerWinston	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Ilios	Ruins	 SHD	 GLA	WinstonTracer	WidowmakerZenyattaWinston	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Ilios	Ruins	 SHD	 GLA	WinstonZenyatta	MercyWinstonGenjiZenyatta	Soldier: 76TracerMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Eichenwalde	Attack	 SHD	 GLA			LucioMoiraD.VaReinhardtRoadhogZarya	PharahTracerMercyZenyattaD.VaWinston
Eichenwalde	Attack	 SHD	 GLA		MercyPharah	MccreeTracerMercyZenyattaD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Eichenwalde	Attack	 SHD	 GLA	Tracer	MercyTracerPharah	MccreeTracerMercyZenyattaD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Eichenwalde	Attack	 SHD	 GLA	ZenyattaMccreeMercy	WinstonZenyattaPharahTracer	MccreeTracerMercyZenyattaD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Eichenwalde	Attack	 SHD	 GLA	WinstonZenyattaTracerMccree	MercyTracerWinstonPharah	MccreeTracerMercyZenyattaD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Eichenwalde	Defense	 SHD	 GLA		Tracer	PharahSoldier: 76MercyZenyattaD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Eichenwalde	Defense	 SHD	 GLA	MercyZenyattaWinstonTracerSoldier: 76Winston	ZenyattaPharahMercyWinstonTracerTracer	Soldier: 76TracerMercyZenyattaD.VaWinston	PharahTracerMercyZenyattaD.VaWinston
Junkertown	Attack	 DAL	 SEO			BastionHanzoWidowmakerMercyOrisaRoadhog	AnaLucioD.VaRoadhogWinstonZarya
Junkertown	Attack	 DAL	 SEO	RoadhogHanzoWidowmakerRoadhogMercy	RoadhogLucio	BastionHanzoWidowmakerMercyOrisaRoadhog	AnaLucioD.VaRoadhogWinstonZarya
Junkertown	Attack	 DAL	 SEO			BastionHanzoReaperMercyOrisaRoadhog	JunkratAnaLucioD.VaWinstonZarya
Junkertown	Attack	 DAL	 SEO	Hanzo	Ana	BastionHanzoReaperMercyOrisaRoadhog	JunkratAnaLucioD.VaWinstonZarya
Junkertown	Attack	 DAL	 SEO	OrisaMercyRoadhog	Junkrat	BastionPharahReaperMercyOrisaRoadhog	JunkratAnaLucioD.VaWinstonZarya
Junkertown	Attack	 DAL	 SEO	MercyBastion	AnaLucio	BastionPharahReaperMercyD.VaRoadhog	JunkratSoldier: 76AnaLucioD.VaWinston
Junkertown	Attack	 DAL	 SEO	Roadhog		BastionJunkratReaperMercyD.VaRoadhog	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Junkertown	Attack	 DAL	 SEO	BastionReaperRoadhogReaperBastion	Soldier: 76	BastionJunkratReaperMercyD.VaRoadhog	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Junkertown	Defense	 DAL	 SEO			JunkratWidowmakerMercyZenyattaOrisaRoadhog	WidowmakerReaperAnaMercyD.VaReinhardt
Junkertown	Defense	 DAL	 SEO	Roadhog	Reaper	JunkratWidowmakerMercyZenyattaOrisaRoadhog	WidowmakerReaperAnaMercyD.VaReinhardt
Junkertown	Defense	 DAL	 SEO	OrisaRoadhogZenyatta	MercyReinhardt	JunkratWidowmakerMercyZenyattaOrisaRoadhog	WidowmakerReaperAnaMercyD.VaReinhardt
Junkertown	Defense	 DAL	 SEO	Widowmaker		JunkratWidowmakerMercyZenyattaOrisaRoadhog	WidowmakerReaperAnaMercyD.VaWinston
Junkertown	Defense	 DAL	 SEO	RoadhogJunkratZenyatta	Widowmaker	JunkratWidowmakerMercyZenyattaOrisaRoadhog	WidowmakerReaperAnaMercyD.VaWinston
Junkertown	Defense	 DAL	 SEO	MercyZenyatta	ReaperWinston	JunkratWidowmakerMercyZenyattaOrisaRoadhog	WidowmakerReaperAnaMercyD.VaWinston
Junkertown	Defense	 DAL	 SEO	Roadhog	WidowmakerAnaWidowmaker	JunkratWidowmakerMercyZenyattaD.VaRoadhog	WidowmakerReaperAnaMercyD.VaWinston
Junkertown	Defense	 DAL	 SEO	WidowmakerRoadhog	WinstonWidowmaker	JunkratWidowmakerMercyZenyattaD.VaRoadhog	WidowmakerReaperMercyZenyattaD.VaWinston
Junkertown	Defense	 DAL	 SEO	JunkratZenyattaMercyRoadhog	Mercy	JunkratMccreeMercyZenyattaOrisaRoadhog	WidowmakerReaperMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 DAL	 SEO			WidowmakerLucioMercyD.VaOrisaRoadhog	WidowmakerTracerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 DAL	 SEO	Mercy		WidowmakerReaperLucioMercyD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO			JunkratWidowmakerSoldier: 76MercyD.VaOrisa	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO	WidowmakerWidowmakerMercy	TracerZenyatta	JunkratWidowmakerSoldier: 76MercyD.VaOrisa	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO	Soldier: 76		JunkratWidowmakerSoldier: 76MercyD.VaOrisa	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO	Tracer	Genji	JunkratTracerMercyZenyattaD.VaOrisa	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO			JunkratWidowmakerSoldier: 76MercyD.VaOrisa	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO	Junkrat	MercyZenyattaWinstonGenjiTracer	JunkratTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 DAL	 SEO	RoadhogWidowmakerLucioOrisaMercyWidowmakerRoadhogWidowmaker	TracerZenyattaWinstonGenjiTracer	WidowmakerLucioMercyD.VaOrisaRoadhog	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO			JunkratWidowmakerSoldier: 76MercyD.VaOrisa	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO	Tracer	Tracer	SombraTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO	MercySombra	ZenyattaWinston	SombraTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 DAL	 SEO	ZenyattaSombraWinston	GenjiTracerTracerMercyZenyattaGenji	SombraTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 DAL	 SEO			WidowmakerLucioMercyD.VaOrisaRoadhog	WidowmakerTracerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 DAL	 SEO			WidowmakerLucioMercyD.VaOrisaRoadhog	WidowmakerTracerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 DAL	 SEO	MercyLucioRoadhogOrisa	MercyWidowmakerTracerZenyattaOrisaTracerWidowmaker	WidowmakerLucioMercyD.VaOrisaRoadhog	WidowmakerTracerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 DAL	 SEO			GenjiSoldier: 76LucioMercyD.VaWinston	WidowmakerTracerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 DAL	 SEO		WidowmakerTracer	GenjiSoldier: 76LucioMercyD.VaWinston	WidowmakerTracerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 DAL	 SEO	MercyWinstonGenjiLucio	MercyZenyattaTracer	GenjiSoldier: 76LucioMercyD.VaWinston	WidowmakerTracerMercyZenyattaD.VaOrisa
Temple of Anubis	Attack	 DAL	 SEO	Soldier: 76LucioLucio	WinstonTracerAna	GenjiSoldier: 76LucioMercyD.VaWinston	ReaperTracerAnaLucioD.VaWinston
Ilios	Lighthouse	 DAL	 SEO	Tracer	Tracer	WidowmakerTracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Lighthouse	 DAL	 SEO	MercyWidowmakerWinstonTracerLucio	PharahLucioTracerWinstonMercyLucioTracer	WidowmakerTracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Lighthouse	 DAL	 SEO	TracerMercyLucioWidowmaker	MercyTracerPharahWinstonLucio	WidowmakerTracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 DAL	 SEO		TracerMercy	JunkratMccreeMercyZenyattaOrisaRoadhog	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 DAL	 SEO		Pharah	JunkratMccreeMercyZenyattaOrisaRoadhog	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 DAL	 SEO	ZenyattaJunkratMercyRoadhog	PharahMercyLucioPharahWinstonTracer	JunkratMccreeMercyZenyattaOrisaRoadhog	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 DAL	 SEO		Tracer	WidowmakerTracerMercyZenyattaRoadhogWinston	PharahTracerLucioMercyD.VaWinston
Ilios	Well	 DAL	 SEO	MercyRoadhogTracerWinstonZenyatta	LucioMercyTracerWinstonTracer	WidowmakerTracerMercyZenyattaRoadhogWinston	PharahTracerLucioMercyD.VaWinston
Numbani	Attack	 DAL	 SEO			Soldier: 76TracerLucioMercyD.VaWinston	JunkratSoldier: 76AnaMercyD.VaWinston
Numbani	Attack	 DAL	 SEO			Soldier: 76TracerLucioMercyD.VaWinston	JunkratSoldier: 76AnaMercyD.VaWinston
Numbani	Attack	 DAL	 SEO			Soldier: 76TracerLucioMercyD.VaWinston	GenjiSoldier: 76AnaMercyD.VaWinston
Numbani	Attack	 DAL	 SEO	TracerMercySoldier: 76Winston	Soldier: 76Winston	Soldier: 76TracerLucioMercyD.VaWinston	GenjiSoldier: 76AnaMercyD.VaWinston
Numbani	Attack	 DAL	 SEO		Ana	Soldier: 76TracerLucioMercyD.VaWinston	GenjiTracerAnaMercyD.VaWinston
Numbani	Attack	 DAL	 SEO	Tracer	Tracer	Soldier: 76TracerLucioMercyD.VaWinston	GenjiTracerAnaMercyD.VaWinston
Numbani	Attack	 DAL	 SEO	Soldier: 76TracerWinston	AnaTracerWinston	Soldier: 76TracerMercyZenyattaD.VaWinston	GenjiTracerAnaMercyD.VaWinston
Numbani	Attack	 DAL	 SEO		Tracer	Soldier: 76TracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Numbani	Attack	 DAL	 SEO		Winston	Soldier: 76TracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Numbani	Attack	 DAL	 SEO	ZenyattaMercyTracerWinstonSoldier: 76	MercyZenyattaTracerGenji	Soldier: 76TracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Numbani	Attack	 DAL	 SEO	TracerSoldier: 76Tracer	GenjiWinstonTracerZenyatta	Soldier: 76TracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Numbani	Defense	 DAL	 SEO		Soldier: 76	TorbjörnSoldier: 76TracerMercyD.VaWinston	PharahSoldier: 76MercyZenyattaD.VaWinston
Numbani	Defense	 DAL	 SEO	Mercy	Widowmaker	MccreeSoldier: 76MercyZenyattaD.VaWinston	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Numbani	Defense	 DAL	 SEO	WinstonMccreeZenyatta	Zenyatta	MccreeSoldier: 76MercyZenyattaD.VaWinston	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Numbani	Defense	 DAL	 SEO		Mercy	MccreeTracerMercyZenyattaD.VaWinston	DoomfistSoldier: 76MercyZenyattaD.VaWinston
Numbani	Defense	 DAL	 SEO	Tracer		MccreeTracerMercyZenyattaReinhardtZarya	DoomfistSoldier: 76MercyZenyattaD.VaWinston
Numbani	Defense	 DAL	 SEO		ZenyattaWinstonDoomfistSoldier: 76	MccreeTracerMercyZenyattaReinhardtZarya	DoomfistSoldier: 76MercyZenyattaD.VaWinston
Numbani	Defense	 DAL	 SEO	ZenyattaZaryaTracerReinhardtTracer	Mercy	MccreeTracerMercyZenyattaReinhardtZarya	ReaperTracerMercyZenyattaReinhardtZarya
Numbani	Defense	 DAL	 SEO	MccreeTracer	Tracer	MccreeTracerMercyZenyattaReinhardtZarya	ReaperTracerMercyZenyattaReinhardtZarya
